"","time","SN_activity","CO","MAP","Qaa","Qs","Qc","HR","Rtot","Rs","Rbrain","Rc"
"1",0,0.5,5000,100,-3948.49185285874,14168.6868074284,1002.14687527753,70,0.0175090907337732,0.00907,0.115419521912351,0.091181422310757
"2",0.01,0.500032015681777,4810.15274212267,101.190376354971,1381.67419711643,12219.6480573917,1028.30691127915,70.0064031363555,0.0175047574595806,0.00907050897652338,0.115226270044812,0.0910287533354016
"3",0.02,0.500066728415235,4709.83815257262,102.693756371141,3622.29690128311,10740.1452073146,1072.40203376847,70.0133456830471,0.0175069232437978,0.00907106083003428,0.115322696575161,0.091104930294377
"4",0.03,0.500084731946284,4647.59848087188,104.089306593111,2696.79157346764,9609.16072886963,1083.98890681307,70.0169463892568,0.0175131081086839,0.00907134704523048,0.115613664969425,0.0913347953258454
"5",0.04,0.500074612820798,4629.29467399925,105.561208494605,3596.92315940501,8750.50778396883,1102.04638716429,70.0149225641596,0.0175191064512823,0.00907118617415032,0.115925327242229,0.0915810085213606
"6",0.05,0.500033397468414,4611.52213672291,106.692751909,4617.70148281553,8031.87530134964,1089.77141949068,70.0066794936828,0.0175245098277029,0.00907053094378815,0.116241546164735,0.0918308214701405
"7",0.06,0.499967402589961,4583.43567240167,107.426413278962,5322.0573531447,7406.4170880941,1044.12251973463,69.9934805179922,0.0175284042672107,0.00906948177532035,0.11651536015396,0.0920471345216282
"8",0.07,0.49988695357287,4585.09789434782,108.274366362136,3617.27185841025,6937.0810099374,1028.48180036857,69.9773907145741,0.0175278403667536,0.00906820281892289,0.116606129075577,0.0921188419697056
"9",0.08,0.49980288172238,4585.96784882628,108.917620755056,4523.32411488286,6533.18139791195,1011.34517681553,69.9605763444759,0.0175236824112731,0.00906686626771418,0.116542060674386,0.0920682279327652
"10",0.09,0.499730526706126,4571.72047589877,109.226002237392,5770.04717711138,6143.98192007233,973.250153100627,69.9461053412253,0.0175169472661222,0.00906571598752093,0.116354240171394,0.0919198497354011
"11",0.1,0.499681842191252,4567.75934321323,109.522581139127,3425.1150210837,5844.92262363938,945.551515904941,69.9363684382505,0.0175091147033926,0.00906494201446312,0.116097621343367,0.0917171208612595
"12",0.11,0.499655104353684,4580.36243003867,109.89520099044,4304.81420702666,5612.32844112695,943.294792659425,69.9310208707368,0.0175015155112297,0.00906451694365866,0.115833440085384,0.0915084176674534
"13",0.12,0.499649046375336,4577.81936797597,109.998185650585,5503.16443706314,5365.29037268643,922.385497304787,69.9298092750672,0.01749539782728,0.00906442063558128,0.115617048403596,0.0913374682388412
"14",0.13,0.499663187461258,4564.46713270108,109.902539629319,3331.95049313868,5155.6489299184,883.732987249957,69.9326374922517,0.0174904516746308,0.00906464544668478,0.115434198353656,0.0911930166993884
"15",0.14,0.499695272771204,4586.91436310375,110.155300796259,4064.40669144746,5032.02030304895,895.464571987522,69.9390545542407,0.0174850898287626,0.00906515553013766,0.115218119405583,0.0910223143304107
"16",0.15,0.499743667417626,4594.68577077448,110.183453255625,5198.9911273252,4893.26351521329,890.443291231125,69.9487334835253,0.0174808585215365,0.00906592489494638,0.115037628943382,0.0908797268652715
"17",0.16,0.499807986894169,4582.4734024428,109.940761151292,6076.74972019635,4737.33971397255,856.399536358131,69.9615973788338,0.0174777728551576,0.00906694742833437,0.114892725333319,0.0907652530133224
"18",0.17,0.499886823096347,4601.75377645228,110.029824557337,3817.44965992564,4666.96582083463,863.665455050531,69.9773646192693,0.0174746453792536,0.00906820074464292,0.114733101725171,0.0906391503628855
"19",0.18,0.499977859782256,4618.51111444673,110.059028170806,4878.96305070397,4600.20915276533,871.547136178717,69.9955719564512,0.0174722142073756,0.00906964802089386,0.114593308690188,0.0905287138652483
"20",0.19,0.5000797280884,4615.37245582218,109.838351640154,6280.41559392412,4494.05294133113,851.921888232079,70.0159456176799,0.0174711759216619,0.00907126749527097,0.114503710953534,0.0904579316532922
"21",0.2,0.500186141202029,4621.75989815493,109.716225940821,3570.83546742818,4438.88442885329,840.608289943295,70.0372282404057,0.0174727749518145,0.00907295922175031,0.114522332058413,0.0904726423261459
"22",0.21,0.500281993427948,4646.27270384104,109.788731805178,4554.94220525008,4420.1870404568,856.508724889468,70.0563986855897,0.0174779722689574,0.0090744830541349,0.11470431699314,0.0906164104245804
"23",0.22,0.500351968697939,4652.32470493002,109.639313190914,5854.75341180778,4354.81760831399,847.701057906134,70.0703937395878,0.0174860893850127,0.0090755955017751,0.11503437758854,0.0908771582949462
"24",0.23,0.500389536062483,4644.57214982503,109.330146092169,3806.78644785531,4299.14978979382,816.184265399501,70.0779072124966,0.0174947379554489,0.00907619273742765,0.115415601725647,0.091178325363261
"25",0.24,0.50039675969781,4675.59238714478,109.465624229127,4235.80270235292,4314.88536716159,839.118576234378,70.0793519395621,0.0175000714637267,0.00907630757679983,0.115679442353395,0.0913867594591821
"26",0.25,0.500382687840737,4689.6615157738,109.402450768379,5431.37222270718,4294.80412436781,842.974745355962,70.0765375681475,0.0175024371709232,0.00907608386627758,0.115832185991778,0.0915074269335042
"27",0.26,0.500362082217401,4681.57146147021,109.087680051388,6421.23490126271,4238.07314010502,816.188621879366,70.0724164434801,0.0175017419268915,0.00907575628373222,0.115855507510837,0.0915258509335613
"28",0.27,0.500350139835649,4704.60994315202,109.137635836857,3930.7517496319,4254.00283612643,830.386057126718,70.0700279671297,0.0174964631178378,0.00907556642702427,0.115669452082487,0.0913788671451647
"29",0.28,0.500355789980508,4725.59209895206,109.163690570465,5028.9025135002,4263.00205609642,846.229427606693,70.0711579961015,0.017490787659616,0.00907565625147677,0.115451014523023,0.0912063014731878
"30",0.29,0.500379526202906,4725.18646374507,108.948263462233,6471.93880566424,4219.52741908738,833.049358694614,70.0759052405812,0.0174864610184179,0.00907603360342693,0.115275379870433,0.0910675500976423
"31",0.3,0.500420431029592,4732.08385345737,108.82697339522,3644.57136017196,4215.03507708058,825.486759577884,70.0840862059184,0.017482646614828,0.00907668389713678,0.115106258861804,0.0909339445008253
"32",0.31,0.500476066160972,4759.08509853704,108.940093437434,4650.64836528619,4243.10664137192,848.829513973816,70.0952132321944,0.0174789509499776,0.00907756836918846,0.114929642652008,0.0907944176950861
"33",0.32,0.500545661923934,4766.56117167124,108.832856865776,5971.38319179906,4215.66081105643,847.338004359809,70.1091323847869,0.0174762383660426,0.00907867478353006,0.114783336881947,0.0906788361367379
"34",0.33,0.500628880472145,4757.8012262549,108.549015148318,4396.6394598617,4188.13697735269,819.658973584705,70.1257760944289,0.0174743564789118,0.00907999776917327,0.114660226060414,0.090581578587727
"35",0.34,0.500724090387108,4789.55343374833,108.738584972186,4295.60817228246,4229.91133822145,848.522775203807,70.1448180774216,0.0174722468155992,0.00908151139027453,0.114516640110794,0.0904681456875271
"36",0.35,0.500829932719318,4804.11009202087,108.733469079697,5500.13771260251,4232.33733044621,857.139925189618,70.1659865438637,0.017470949643403,0.00908319404262752,0.114398803261757,0.0903750545767877
"37",0.36,0.50094584009323,4795.83535214711,108.474134702582,6612.31735550736,4192.19243098284,832.451880553761,70.189168018646,0.0174704747700833,0.00908503670625149,0.114306860586914,0.0903024198636624
"38",0.37,0.501069774680168,4816.62225238566,108.559764047691,3962.63008103799,4219.36152972661,844.956679082857,70.2139549360336,0.0174707028117055,0.00908700698430539,0.114237228792991,0.0902474107464626
"39",0.38,0.501193565086345,4837.55201674067,108.649749864938,5057.67366034875,4241.87397348105,861.10654022239,70.238713017269,0.0174738972307529,0.00908897497021311,0.114294306576545,0.0902925021954705
"40",0.39,0.501302188476197,4837.13698684981,108.500432623245,6488.25169551658,4210.19037763313,846.90061799045,70.2604376952394,0.0174812144302067,0.00909070183505733,0.114540176244632,0.0904867392332589
"41",0.4,0.501381733597387,4840.05313192987,108.400688477011,3650.83410841899,4210.04324062015,832.267156641272,70.2763467194773,0.0174908218176737,0.00909196642156579,0.114909028354794,0.0907781324002869
"42",0.41,0.501425894735677,4866.69756648625,108.578123127171,4643.5276173678,4248.34104295785,853.353818964583,70.2851789471354,0.0174992794859607,0.00909266848322395,0.115259810288058,0.0910552501275659
"43",0.42,0.501438860408872,4874.08150366554,108.53784208722,5941.03060160385,4232.47607984535,850.918766063214,70.2877720817743,0.0175055750238094,0.00909287460793845,0.115544466921868,0.0912801288682756
"44",0.43,0.501432781348314,4862.23248568693,108.285525078869,5371.20700718044,4206.46509898127,820.253784491543,70.2865562696627,0.0175088819608934,0.00909277796470187,0.115714982455254,0.091414836139651
"45",0.44,0.501421514386331,4891.37043251747,108.512015836995,4260.79109468682,4252.74726972421,846.532688755094,70.2843028772661,0.0175069880768363,0.00909259884563206,0.11566231364359,0.0913732277784364
"46",0.45,0.5014196605347,4905.65503970423,108.569044008937,5438.52459936541,4264.57386815629,857.579730687206,70.28393210694,0.017502140282014,0.00909256937360756,0.115472603501723,0.0912233567663615
"47",0.46,0.5014364493525,4897.1131211277,108.369737888286,6744.59677224933,4227.65483249977,836.651678554894,70.2872898705,0.0174979322393814,0.00909283627762588,0.115294367679514,0.0910825504668161
"48",0.47,0.501470998398069,4911.58617828459,108.444324847296,3911.33819280055,4249.95666840759,843.731889747213,70.2941996796139,0.0174938843839681,0.00909338552887164,0.115107326788898,0.0909347881632293
"49",0.48,0.501520748001076,4932.02586838892,108.588276715486,4979.84884693712,4277.54781575513,863.201727855954,70.3041496002151,0.0174903250698618,0.0090941764344083,0.114928820584364,0.0907937682616474
"50",0.49,0.501585127789448,4931.62030829772,108.495933844156,6375.50023483022,4248.88927020225,855.081097635464,70.3170255578896,0.0174877787868514,0.0090951999266172,0.114781489397665,0.0906773766241551
"51",0.5,0.501663698523674,4927.58276979509,108.370501734345,3592.15036478705,4239.75459539758,837.604458925733,70.3327397047348,0.0174858372038877,0.0090964490225891,0.114647414230721,0.0905714572422699
"52",0.51,0.501754581267696,4953.57087319982,108.593064128777,4559.65510233525,4279.42243638214,864.052265033325,70.3509162535391,0.017483806026312,0.00909789385151417,0.114499110044067,0.0904542969348126
"53",0.52,0.501856812066106,4960.85084848415,108.60149090231,5822.55441567078,4270.22144599001,867.415470179963,70.3713624132211,0.0174826118264811,0.00909951908869385,0.114377172182721,0.0903579660243494
"54",0.53,0.501969900108549,4946.64219317561,108.369000121702,6167.91205098584,4235.4048611371,838.216240005575,70.3939800217099,0.0174822090180491,0.0091013169313598,0.114279333244127,0.0902806732628604
"55",0.54,0.502092444911272,4970.65051285194,108.582305867179,4173.32301031722,4273.9365135643,860.745299624816,70.4184889822543,0.017481786438195,0.00910326511500562,0.114172252219123,0.0901960792531073
"56",0.55,0.502221325390433,4984.92499885299,108.68295226524,5313.30995529669,4288.91972523664,873.567961444816,70.4442650780866,0.017482907889684,0.00910531402149686,0.114125800380293,0.0901593823004312
"57",0.56,0.502347302035713,4977.15522295765,108.533669255057,6741.96455032456,4252.63664619881,854.309155808931,70.4694604071425,0.0174876881126411,0.0091073167636339,0.114237219325118,0.090247403266843
"58",0.57,0.502454498467523,4983.5640678677,108.555302239306,3817.5299453646,4263.46327807124,849.511337659179,70.4908996935047,0.0174961046465532,0.00910902094309075,0.114519259412986,0.0904702149362588
"59",0.58,0.502529122356741,5004.18870630395,108.740409500263,4843.89523063698,4295.20538343101,867.476451246263,70.5058244713483,0.0175057261113255,0.00911020729320379,0.114881788966761,0.0907566132837411
"60",0.59,0.502568017833357,5005.08260248769,108.69977058813,6180.00246165293,4271.69109265454,859.991713789511,70.5136035666714,0.0175146183439353,0.0091108256428176,0.115244780924211,0.0910433769301266
